MSA_NUM,MSA_NAME,EDU_TOTAL,EDU_10,EDU_12,EDU_14,EDU_16
14140,"Bluefield, WV-VA Micro Area",57185,8712,20925,17579,9969
14180,"Blytheville, AR Micro Area",23189,4441,8388,6909,3451
14220,"Bogalusa, LA Micro Area",24498,4789,10486,6629,2594
14260,"Boise City-Nampa, ID Metro Area",327353,29493,79270,118229,100361
14300,"Bonham, TX Micro Area",17541,2891,6460,5388,2802
14340,"Boone, IA Micro Area",13814,723,4431,5526,3134
14380,"Boone, NC Micro Area",21616,2028,4062,7271,8255
14420,"Borger, TX Micro Area",11296,1670,3820,4215,1591
14460,"Boston-Cambridge-Quincy, MA-NH Metro Area",2532664,188216,566724,595813,1181911
14500,"Boulder, CO Metro Area",161239,9281,18747,36135,97076
14540,"Bowling Green, KY Metro Area",63621,7721,19999,18326,17575
14580,"Bozeman, MT Micro Area",48687,1270,9080,14908,23429
14620,"Bradford, PA Micro Area",22810,1986,10552,6327,3945
14660,"Brainerd, MN Micro Area",46204,2762,14299,19512,9631
14700,"Branson, MO Micro Area",42212,6553,15503,13069,7087
14740,"Bremerton-Silverdale, WA Metro Area",136388,7663,32318,57276,39131
14780,"Brenham, TX Micro Area",16368,2509,5005,4979,3875
14820,"Brevard, NC Micro Area",15950,1414,4421,5619,4496
14860,"Bridgeport-Stamford-Norwalk, CT Metro Area",498712,44971,105182,111084,237475
14940,"Brigham City, UT Micro Area",23608,1721,8184,8885,4818
15020,"Brookhaven, MS Micro Area",17502,2549,5555,5858,3540
15060,"Brookings, OR Micro Area",11015,1198,3365,4243,2209
15100,"Brookings, SD Micro Area",13732,790,3356,3773,5813
15180,"Brownsville-Harlingen, TX Metro Area",188799,60876,48379,49572,29972
15220,"Brownwood, TX Micro Area",18453,2249,7688,5735,2781
15260,"Brunswick, GA Metro Area",59553,8856,20281,18969,11447
15340,"Bucyrus, OH Micro Area",22253,2121,9632,7709,2791
15380,"Buffalo-Niagara Falls, NY Metro Area",595816,44134,162197,197736,191749
15420,"Burley, ID Micro Area",20026,4681,5354,7155,2836
15460,"Burlington, IA-IL Micro Area",24778,1663,8382,9348,5385
15500,"Burlington, NC Metro Area",78289,13127,21584,26800,16778
15540,"Burlington-South Burlington, VT Metro Area",114509,6217,28117,30968,49207
15580,"Butte-Silver Bow, MT Micro Area",17941,1226,6153,5935,4627
15620,"Cadillac, MI Micro Area",24726,2408,9769,8554,3995
15660,"Calhoun, GA Micro Area",29189,7821,9536,7414,4418
15700,"Cambridge, MD Micro Area",17247,2669,6498,4591,3489
15740,"Cambridge, OH Micro Area",20734,2377,9188,6413,2756
15780,"Camden, AR Micro Area",16013,1837,6870,4830,2476
15820,"Campbellsville, KY Micro Area",12109,1534,5295,3317,1963
15860,"Ca–on City, CO Micro Area",27255,5008,9867,8399,3981
15900,"Canton, IL Micro Area",19496,2098,6678,7539,3181
15940,"Canton-Massillon, OH Metro Area",210559,16869,78840,68125,46725
15980,"Cape Coral-Fort Myers, FL Metro Area",308552,41904,100528,96244,69876
16020,"Cape Girardeau-Jackson, MO-IL Metro Area",49156,5308,16735,14402,12711
16060,"Carbondale, IL Micro Area",27361,1922,5953,9707,9779
16100,"Carlsbad-Artesia, NM Micro Area",27866,4542,8885,9698,4741
16180,"Carson City, NV Metro Area",29240,3994,8553,10908,5785
16220,"Casper, WY Metro Area",41669,3124,11484,17969,9092
16260,"Cedar City, UT Micro Area",19964,1766,4777,8090,5331
16300,"Cedar Rapids, IA Metro Area",136736,6905,34700,51687,43444
16340,"Cedartown, GA Micro Area",21141,4810,7948,5540,2843
16380,"Celina, OH Micro Area",20699,1012,9533,6494,3660
16420,"Central City, KY Micro Area",16806,2931,6819,5082,1974
16460,"Centralia, IL Micro Area",19949,1992,6811,8138,3008
16500,"Centralia, WA Micro Area",38457,5179,11471,16608,5199
16540,"Chambersburg, PA Micro Area",77410,8926,33023,19583,15878
16580,"Champaign-Urbana, IL Metro Area",110364,6347,24504,33017,46496
16620,"Charleston, WV Metro Area",166290,19706,62258,44867,39459
16660,"Charleston-Mattoon, IL Micro Area",29476,1913,9786,11198,6579
16700,"Charleston-North Charleston-Summerville, SC Metro Area",370031,37166,93532,118920,120413
16740,"Charlotte-Gastonia-Rock Hill, NC-SC Metro Area",987310,109039,228199,302557,347515
16820,"Charlottesville, VA Metro Area",105894,10788,23386,23569,48151
16860,"Chattanooga, TN-GA Metro Area",284547,36940,85541,92136,69930
16900,"Chester, SC Micro Area",17142,3161,6770,5445,1766
16940,"Cheyenne, WY Metro Area",49520,2495,13050,20900,13075
16980,"Chicago-Joliet-Naperville, IL-IN-WI Metro Area",5139948,600698,1206534,1438166,1894550
17020,"Chico, CA Metro Area",107129,13422,23341,44512,25854
17060,"Chillicothe, OH Micro Area",43637,5677,17581,13434,6945
17140,"Cincinnati-Middletown, OH-KY-IN Metro Area",1141519,99944,343059,339515,359001
17200,"Claremont, NH Micro Area",24083,1750,8465,7137,6731
17220,"Clarksburg, WV Micro Area",51459,5641,21228,14297,10293
17260,"Clarksdale, MS Micro Area",12352,2546,3448,4226,2132
17300,"Clarksville, TN-KY Metro Area",142810,13376,45842,53573,30019
17340,"Clearlake, CA Micro Area",34288,4017,10234,14971,5066
17380,"Cleveland, MS Micro Area",16883,3661,4331,5333,3558
17420,"Cleveland, TN Metro Area",60900,8914,21586,19319,11081
17460,"Cleveland-Elyria-Mentor, OH Metro Area",1102485,95797,313107,356016,337565
17500,"Clewiston, FL Micro Area",18875,6619,6332,3924,2000
17540,"Clinton, IA Micro Area",25308,2215,8259,9577,5257
17580,"Clovis, NM Micro Area",24479,4128,5776,8997,5578
17660,"Coeur d'Alene, ID Metro Area",73165,4540,20632,30993,17000
17700,"Coffeyville, KS Micro Area",16943,1558,5674,6753,2958
17740,"Coldwater, MI Micro Area",23317,2762,9590,7804,3161
17780,"College Station-Bryan, TX Metro Area",99328,14870,23915,26551,33992
17820,"Colorado Springs, CO Metro Area",351015,19101,73911,133686,124317
17860,"Columbia, MO Metro Area",85335,4666,16349,21448,42872
17900,"Columbia, SC Metro Area",413139,41853,106506,137128,127652
17940,"Columbia, TN Micro Area",43983,4745,16339,14273,8626
17980,"Columbus, GA-AL Metro Area",155522,19271,43667,57288,35296
18020,"Columbus, IN Metro Area",41135,3786,12778,12303,12268
18060,"Columbus, MS Micro Area",30508,4489,9512,10213,6294
18100,"Columbus, NE Micro Area",16410,1473,4472,7074,3391
18140,"Columbus, OH Metro Area",1010700,84731,269060,297972,358937
18180,"Concord, NH Micro Area",81444,5475,22793,25680,27496
18220,"Connersville, IN Micro Area",12666,2315,5094,3917,1340
18260,"Cookeville, TN Micro Area",53010,7459,22208,12833,10510
18300,"Coos Bay, OR Micro Area",32312,3577,10498,12835,5402
18340,"Corbin, KY Micro Area",17979,3747,7858,4245,2129
18380,"Cordele, GA Micro Area",11722,2328,4095,3433,1866
18420,"Corinth, MS Micro Area",18922,3079,6408,5643,3792
18460,"Cornelia, GA Micro Area",22238,4518,7738,6679,3303
18500,"Corning, NY Micro Area",52357,4717,18342,17904,11394
18580,"Corpus Christi, TX Metro Area",221211,38764,60929,78152,43366
18620,"Corsicana, TX Micro Area",23715,5253,7536,7083,3843
18660,"Cortland, NY Micro Area",23654,1795,8012,8148,5699
18700,"Corvallis, OR Metro Area",40428,2380,5811,12049,20188
18740,"Coshocton, OH Micro Area",19131,2782,9136,5231,1982
18820,"Crawfordsville, IN Micro Area",19281,2492,8511,5298,2980
18860,"Crescent City, CA Micro Area",15734,3367,4928,5179,2260
18880,"Crestview-Fort Walton Beach-Destin, FL Metro Area",98829,7819,26360,37886,26764
18900,"Crossville, TN Micro Area",26840,4590,11602,6777,3871
18940,"Crowley, LA Micro Area",31528,7716,12485,8289,3038
18980,"Cullman, AL Micro Area",41651,6762,12445,16424,6020
19020,"Culpeper, VA Micro Area",25801,3423,9018,7631,5729
19060,"Cumberland, MD-WV Metro Area",53035,5326,23431,15107,9171
19100,"Dallas-Fort Worth-Arlington, TX Metro Area",3517419,551824,778111,1051401,1136083
19140,"Dalton, GA Metro Area",73798,22027,22965,19185,9621
19180,"Danville, IL Metro Area",41335,5028,15446,14891,5970
19220,"Danville, KY Micro Area",27400,3784,11391,7517,4708
19260,"Danville, VA Metro Area",55468,8474,18196,19599,9199
19300,"Daphne-Fairhope-Foley, AL Micro Area",98402,9964,28121,32086,28231
19340,"Davenport-Moline-Rock Island, IA-IL Metro Area",199567,16086,55531,74188,53762
19380,"Dayton, OH Metro Area",437056,39210,128416,153597,115833
19460,"Decatur, AL Metro Area",82044,13919,27154,25661,15310
19500,"Decatur, IL Metro Area",56794,5799,17309,19521,14165
19540,"Decatur, IN Micro Area",16067,2300,6742,4578,2447
19580,"Defiance, OH Micro Area",19876,1531,7920,6795,3630
19620,"Del Rio, TX Micro Area",22615,6197,6646,6168,3604
19660,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",251308,27935,79498,92727,51148
19700,"Deming, NM Micro Area",11351,3108,3988,2636,1619
19740,"Denver-Aurora-Broomfield, CO Metro Area",1465195,145239,293696,437997,588263
19760,"DeRidder, LA Micro Area",18965,2661,7714,5290,3300
